50 368
40 37
40 15
37 11
45 13
50 38
44 39
42 38
24 4
29 1
50 5
42 29
28 13
47 11
20 4
33 16
48 12
45 30
32 5
41 27
18 9
45 14
26 18
16 11
50 33
16 5
45 16
43 12
41 32
35 24
49 40
45 34
36 15
31 13
42 40
30 20
29 5
50 23
47 26
39 1
35 33
24 21
29 19
19 8
28 24
24 8
31 16
21 15
48 28
10 3
25 16
45 33
24 2
39 31
29 15
9 1
38 27
25 14
41 18
16 13
44 38
39 29
33 24
47 30
16 4
49 24
45 35
39 26
28 25
42 10
5 4
42 34
49 35
19 9
40 16
31 25
14 11
44 20
40 6
13 6
30 25
34 8
33 30
42 27
44 23
40 21
38 26
27 16
43 41
32 3
26 13
44 3
37 22
16 1
24 19
48 45
20 3
27 23
36 30
47 20
34 6
42 4
39 16
48 34
47 44
37 26
46 26
28 2
19 13
22 5
32 6
32 31
35 10
50 17
46 12
41 39
27 3
42 22
38 24
32 21
40 26
22 15
13 8
41 10
15 8
30 2
33 20
48 40
30 9
35 18
22 10
22 13
46 7
45 22
38 20
15 14
17 13
42 39
40 11
49 27
37 29
44 7
42 35
3 1
29 12
30 14
6 1
30 12
25 1
22 21
30 7
50 26
36 12
25 20
33 23
36 26
42 14
26 7
39 17
11 7
38 3
36 31
28 23
25 18
49 22
26 23
42 24
47 35
43 6
47 46
40 3
37 5
40 17
40 9
22 18
11 8
23 12
44 40
9 4
47 2
32 28
42 3
41 28
27 20
16 10
41 2
13 10
39 22
39 7
46 15
16 7
30 27
18 7
18 17
40 5
23 1
49 46
2 1
47 28
15 1
50 7
42 12
44 27
40 33
48 24
29 6
33 22
6 4
41 37
45 11
39 4
34 25
48 4
31 15
43 39
40 31
46 3
47 25
36 20
25 6
27 18
43 16
40 4
49 37
47 1
39 13
43 35
34 4
20 15
44 30
48 23
50 48
46 22
36 14
45 29
22 19
37 21
27 6
31 27
22 3
33 17
37 13
7 4
43 26
46 40
32 23
41 23
25 8
50 27
48 18
47 4
31 20
41 3
27 13
30 19
28 27
34 12
36 29
45 31
23 20
29 20
39 30
45 20
43 22
49 7
35 23
46 10
20 11
37 25
17 15
44 36
38 5
42 9
28 17
37 15
27 25
47 33
41 13
30 10
22 6
12 9
41 9
46 14
17 7
18 10
43 20
48 11
36 9
43 17
38 17
29 24
34 7
26 5
44 31
32 8
27 5
19 7
30 29
48 47
4 3
19 14
46 37
10 6
17 3
42 32
44 19
27 14
25 4
28 9
45 15
47 42
44 6
18 1
36 16
38 22
30 8
41 19
21 17
17 2
27 19
14 5
38 34
18 6
30 26
25 9
20 14
21 18
18 8
48 37
28 1
34 33
50 46
50 47
25 21
25 3
34 23
33 10
23 22
33 8
30 18
30 6
5 3
35 34
20 5
37 2
25 7
12 5
12 6
48 33
40 27
45 19
50 31
37 1
17 4
38 9
30 11
26 14
15 2
39 2
21 8
35 19
20 2
49 28
35 12
18 3
45 26
45 9
35 32
30 4
